,file,size,date,ul_lat,lr_lat,ur_lat,ll_lon,ul_lon,ur_lon,lr_lon,ll_lat
1596,20190716a_jpgs/jpgs/P19752475.jpg,4333884,2019/07/16,29.4237069569821,29.4232594118912,29.4262758585106,-91.3361982762811,-91.3391607746577,-91.3351974756991,-91.3336529819426,29.4215767514693
1597,20190716a_jpgs/jpgs/C19756776.jpg,6680032,2019/07/16,29.832951019486,29.8387361434904,29.8375515586662,-91.9781579907415,-91.9821548927773,-91.9838923885822,-91.979870661781,29.8340321555227
1598,20190716a_jpgs/jpgs/P19748534.jpg,4877558,2019/07/16,29.5911826012525,29.5780323727665,29.5871216642849,-92.5973948341404,-92.5968848687495,-92.5820718564127,-92.5880970370305,29.5804636463485
1599,20190716a_jpgs/jpgs/P19758007.jpg,7552907,2019/07/16,29.9534864078964,29.9556648557656,29.951224286275,-92.8515239259187,-92.8482477662989,-92.8544309436774,-92.8553593654524,29.9571309868651
1600,20190716a_jpgs/jpgs/P19756463.jpg,6736866,2019/07/16,29.7667360721089,29.771355041347,29.7686450844138,-91.7814751803171,-91.7819708998475,-91.7865167290457,-91.7842930746785,29.770328731822
1601,20190716a_jpgs/jpgs/P19754695.jpg,7404214,2019/07/16,29.4119656182538,29.4154123938272,29.4167547654349,-90.7269648444642,-90.7313291179196,-90.7306394007497,-90.7265790190254,29.4125093445999
1602,20190716a_jpgs/jpgs/S19755560.jpg,6648456,2019/07/16,29.6866594238579,29.6789252628463,29.6820360008145,-91.1412903993124,-91.1382995420582,-91.1323475512622,-91.1385874960456,29.6810794303626
1603,20190716a_jpgs/jpgs/P19757607.jpg,6882187,2019/07/16,29.9039533599046,29.9088546676592,29.9045036788385,-92.5617950466716,-92.5608755963099,-92.5676163374063,-92.56598619785,29.9085639534521
1604,20190716a_jpgs/jpgs/P19751579.jpg,9863144,2019/07/16,29.6375848893577,29.6280531964204,29.629810483749,-91.5606115783546,-91.5544763388114,-91.5497889079537,-91.5583283719071,29.6315234113648
1605,20190716a_jpgs/jpgs/S19756057.jpg,8396728,2019/07/16,29.6994179324541,29.6936724614269,29.6972262741696,-91.4978516751754,-91.4969383814788,-91.4909121055048,-91.4941099789718,29.6951149876879
1606,20190716a_jpgs/jpgs/P19750459.jpg,5215128,2019/07/16,29.5394362884838,29.5281293286174,29.5372034394639,-92.3221824730462,-92.3228524794984,-92.3083995039062,-92.3127379087823,29.5295590344641
1607,20190716a_jpgs/jpgs/P19747649.jpg,6851096,2019/07/16,29.7809777226303,29.7766323651003,29.7802539106451,-93.2458120752834,-93.2466658518916,-93.2411505267454,-93.2427236576596,29.7769291968065
1608,20190716a_jpgs/jpgs/P19747673.jpg,7011043,2019/07/16,29.7787087806072,29.7757429460286,29.7781666663218,-93.2267099659396,-93.2271273523587,-93.2232714325808,-93.2242678867371,29.7760054453454
1609,20190716a_jpgs/jpgs/P19755863.jpg,7393567,2019/07/16,29.6363359815585,29.6416016046907,29.6367919829916,-91.3534328805546,-91.3521724562408,-91.3593950197877,-91.3576261933482,29.6413930626921
1610,20190716a_jpgs/jpgs/S19756788.jpg,6053043,2019/07/16,29.8383678015798,29.8359947699639,29.8409233812751,-91.9910381845482,-91.9944158488677,-91.9878176522154,-91.9869341495615,29.834458682296
1611,20190716a_jpgs/jpgs/S19755451.jpg,6916902,2019/07/16,29.638191902847,29.6332650678517,29.6367864905561,-91.0773868164334,-91.0771331917148,-91.0715053602244,-91.074155459834,29.6341573342344
1612,20190716a_jpgs/jpgs/P19758655.jpg,7530340,2019/07/16,30.0655675533045,30.0713676865608,30.0692824250825,-93.2718861630947,-93.2743503047525,-93.2784505995008,-93.2747321392151,30.0688485171407
1613,20190716a_jpgs/jpgs/P19750619.jpg,5753507,2019/07/16,29.5715220497576,29.5666065807213,29.57605784792,-92.2027617748461,-92.2102422800854,-92.1966516042613,-92.1945918442349,29.5634779313332
1614,20190716a_jpgs/jpgs/P19755204.jpg,5968691,2019/07/16,29.5507742985203,29.5557202855656,29.5526674918023,-90.9133026469996,-90.9138526904836,-90.9189217225453,-90.9163860173056,29.5546254139175
1615,20190716a_jpgs/jpgs/C19756861.jpg,10739990,2019/07/16,29.8151823726728,29.8201777788186,29.818998524955,-92.0376161842994,-92.0409371186376,-92.0426372943561,-92.0392511366296,29.8162043139083
1616,20190716a_jpgs/jpgs/S19755240.jpg,6948546,2019/07/16,29.5730257065115,29.5685349088548,29.5713382393505,-90.941216543819,-90.940585774439,-90.9358610887478,-90.9382168727273,29.5696268860577
1617,20190716a_jpgs/jpgs/S19756014.jpg,8225272,2019/07/16,29.6865027422439,29.6806743714284,29.6848725696523,-91.4669043787209,-91.4665910590342,-91.4598410001999,-91.4629116533541,29.6817526457632
1618,20190716a_jpgs/jpgs/S19756656.jpg,6374283,2019/07/16,29.8523017297551,29.8478868619386,29.8527448094121,-91.8899744883996,-91.8915916337784,-91.8844222288378,-91.8854939018815,29.8476608854329
1619,20190716a_jpgs/jpgs/P19758342.jpg,6750508,2019/07/16,29.9306994837429,29.934768491045,29.9304600099546,-93.0988113370207,-93.0974227432573,-93.1037897016712,-93.102709182689,29.934886930826
1620,20190716a_jpgs/jpgs/S19756960.jpg,4129014,2019/07/16,29.7997553829756,29.7976848355585,29.8018052354643,-92.1090723163356,-92.1119474394227,-92.1063937225976,-92.1056914056839,29.7964434728184
