,file,size,date,lr_lon,ul_lon,ur_lon,ll_lat,ur_lat,ll_lon,lr_lat,ul_lat
1653,20180907a_jpgs/jpgs/S25048003.jpg,5775793,2018/09/07,-88.0701013653195,-88.0955440527734,-88.0730585554127,30.2438503964911,30.2648293571291,-88.0837908119745,30.2488206426143,30.257163224948
1654,20180907a_jpgs/jpgs/S25048027.jpg,6685935,2018/09/07,-88.0862124328281,-88.1103260853831,-88.0843778869163,30.240130367793,30.2601093558481,-88.1011894842279,30.2422437691607,30.2570822257746
1655,20180907a_jpgs/jpgs/S25048102.jpg,4528169,2018/09/07,-88.1455727443027,-88.165626392482,-88.1403555251489,30.2439352777317,30.260305109712,-88.1605792607523,30.2436838265685,30.2612180762568
1656,20180907a_jpgs/jpgs/S25048048.jpg,5392735,2018/09/07,-88.1010324525285,-88.1182200385997,-88.0947647326493,30.2378040447813,30.2511838289321,-88.1157021833846,30.2363154493342,30.2539380470824
1657,20180907a_jpgs/jpgs/S25047704.jpg,6412477,2018/09/07,-88.1112477028495,-88.0964855746209,-88.0927700950888,30.2628758631929,30.2488379515111,-88.1135432430688,30.2502367763806,30.2691383358678
1658,20180907a_jpgs/jpgs/S25048081.jpg,4811825,2018/09/07,-88.1268711998997,-88.1391938541853,-88.1171184782899,30.2419878921577,30.2510640760391,-88.1407779964782,30.2378081619066,30.2579967036364
1659,20180907a_jpgs/jpgs/S25048039.jpg,5873394,2018/09/07,-88.0949370981793,-88.1154372909922,-88.0920298618294,30.2373396077296,30.2535635927707,-88.1096337554821,30.2382025554693,30.2526469720678
1660,20180907a_jpgs/jpgs/S25047997.jpg,5046159,2018/09/07,-88.0665554834268,-88.0917753469722,-88.0710841531346,30.2447518061455,30.2654783076884,-88.0795164828926,30.2507103999636,30.256515091046
1661,20180907a_jpgs/jpgs/S25048033.jpg,6298641,2018/09/07,-88.0908898594598,-88.1133292517074,-88.0896183899221,30.2378878560578,30.2559538235221,-88.1055048567906,30.2399999356926,30.2530374588655
1662,20180907a_jpgs/jpgs/S25048072.jpg,5004824,2018/09/07,-88.119641808377,-88.1326145736438,-88.1102271903425,30.2404106497167,30.2500806797339,-88.1337077266132,30.2365364128632,30.2565617660334
1663,20180907a_jpgs/jpgs/S25048147.jpg,4452851,2018/09/07,-88.1833388976725,-88.2044709075245,-88.1794453778424,30.2448513621295,30.2620715572667,-88.1982926901283,30.245425211604,30.2616046400001
1664,20180907a_jpgs/jpgs/S25048129.jpg,4685308,2018/09/07,-88.1671850274421,-88.1842362914051,-88.1597809102146,30.2456903068192,30.2593012528108,-88.1819531642446,30.2437658020105,30.2629491840229
1665,20180907a_jpgs/jpgs/S25048141.jpg,4563941,2018/09/07,-88.1779726477492,-88.199350133781,-88.1727396153114,30.2459553668924,30.2638834731053,-88.193191154277,30.2460392989298,30.2642710210772
1666,20180907a_jpgs/jpgs/S25048078.jpg,4878024,2018/09/07,-88.1245030393717,-88.1372059213804,-88.1150655413675,30.2413227165644,30.2507048270404,-88.1384866977901,30.2373551430346,30.2572735690452
1667,20180907a_jpgs/jpgs/S25047990.jpg,4093405,2018/09/07,-88.0632057655866,-88.089468047741,-88.0689172527058,30.2469850982959,30.2688806526101,-88.0757789103604,30.253702319632,30.258393566836
1668,20180907a_jpgs/jpgs/S25048015.jpg,6605979,2018/09/07,-88.0778069315104,-88.10131906411,-88.0785672794131,30.2408713021771,30.2598809868377,-88.091998730825,30.2443104837655,30.254869430435
1669,20180907a_jpgs/jpgs/S25047695.jpg,6116963,2018/09/07,-88.1081255975695,-88.0976144536908,-88.0908268603806,30.2571136330969,30.2461422212639,-88.1124768644965,30.2450582183313,30.2647407525219
1670,20180907a_jpgs/jpgs/S25047711.jpg,7289972,2018/09/07,-88.1126905332489,-88.0989798445359,-88.0943861110145,30.2672562973079,30.2540810495601,-88.1155923564559,30.2547409546583,30.2740850800299
1671,20180907a_jpgs/jpgs/S25047707.jpg,6878772,2018/09/07,-88.1117912592824,-88.0968717261349,-88.0930070251254,30.2651733458282,30.2512466390382,-88.1142477820944,30.2525088196227,30.2718550993365
1672,20180907a_jpgs/jpgs/S25048051.jpg,5209539,2018/09/07,-88.1033531341256,-88.1195224495286,-88.0963580282544,30.2379762928779,30.2503366580755,-88.117905293351,30.2358649280553,30.2541708869714
1673,20180907a_jpgs/jpgs/S25048108.jpg,4414051,2018/09/07,-88.1507740805749,-88.1692168854995,-88.1463556169674,30.242901202244,30.2570952652643,-88.1653980508822,30.2424945470272,30.2581948125027
1674,20180907a_jpgs/jpgs/S25047987.jpg,3738692,2018/09/07,-88.0615491711425,-88.0876362920607,-88.0679128063224,30.2477239043671,30.2694649264059,-88.0737459956529,30.2548615913417,30.2584447709495
1675,20180907a_jpgs/jpgs/S25048084.jpg,4813804,2018/09/07,-88.1291192995285,-88.1414412152534,-88.1187436534558,30.2430106128271,30.252354687668,-88.1430949187224,30.2386896554528,30.2597616565867
1676,20180907a_jpgs/jpgs/S25048132.jpg,4704221,2018/09/07,-88.1697004974379,-88.188341309531,-88.1621074836432,30.2464549595333,30.2619609796507,-88.1848019688348,30.2449299990493,30.2652116684219
1677,20180907a_jpgs/jpgs/S25048018.jpg,6632014,2018/09/07,-88.0804273701132,-88.1074107320817,-88.0801029863124,30.2421062204808,30.2641863488413,-88.0954187391022,30.2452176549634,30.2598031511973
1678,20180907a_jpgs/jpgs/S25048099.jpg,4623981,2018/09/07,-88.1427397132296,-88.1628849792667,-88.1363764200113,30.2445813757762,30.2614606866322,-88.1579325149514,30.2439249628724,30.2631345499487
1679,20180907a_jpgs/jpgs/S25048120.jpg,4552272,2018/09/07,-88.1599352814201,-88.1763691577282,-88.1533199797245,30.2443058689295,30.2569297932023,-88.1744819572621,30.2424534180462,30.260227818845
1680,20180907a_jpgs/jpgs/S25048012.jpg,6640771,2018/09/07,-88.075889147762,-88.0999300991444,-88.0774044676026,30.2413693956686,30.2608802795666,-88.089903437255,30.2453292606445,30.2550427644085
1681,20180907a_jpgs/jpgs/S25048054.jpg,5073862,2018/09/07,-88.1055416943112,-88.1207908701583,-88.0976061922214,30.2384068398518,30.2500357814824,-88.1200023741719,30.235683474022,30.2549054115848
1682,20180907a_jpgs/jpgs/S25047994.jpg,4594463,2018/09/07,-88.0649794717965,-88.0913450535678,-88.0701141720858,30.2461381120613,30.268026777966,-88.0778701736358,30.2524858757281,30.2581112685034
1683,20180907a_jpgs/jpgs/S25048138.jpg,4638932,2018/09/07,-88.1750811894145,-88.1952832440347,-88.168924520069,30.2461702279684,30.2630970254255,-88.190257184554,30.2456258907823,30.2645043368926
1684,20180907a_jpgs/jpgs/S25048042.jpg,5644581,2018/09/07,-88.0969488303875,-88.1159494374131,-88.0930218508979,30.2371407348575,30.2518895749158,-88.1115997701099,30.2371275526964,30.2523329617375
