,time,name,not_done,done,tagged_ratio
124,1573699071,2019-11-13T21:37:51.909217,58,248,0.1895424836601307
125,1573699052,2019-11-13T21:37:32.415117,57,248,0.18688524590163935
126,1573699047,2019-11-13T21:37:27.225149,57,248,0.18688524590163935
127,1573699030,2019-11-13T21:37:10.037534,56,248,0.18421052631578946
128,1573699027,2019-11-13T21:37:07.326987,56,248,0.18421052631578946
129,1573698961,2019-11-13T21:36:01.714949,55,248,0.18151815181518152
130,1573698958,2019-11-13T21:35:58.903372,55,248,0.18151815181518152
131,1573698932,2019-11-13T21:35:32.854276,54,248,0.17880794701986755
132,1573698929,2019-11-13T21:35:29.834452,54,248,0.17880794701986755
133,1573698894,2019-11-13T21:34:54.636889,53,248,0.1760797342192691
134,1573698891,2019-11-13T21:34:51.412033,53,248,0.1760797342192691
135,1573698868,2019-11-13T21:34:28.549835,52,248,0.17333333333333334
136,1573698865,2019-11-13T21:34:25.738481,52,248,0.17333333333333334
137,1573698845,2019-11-13T21:34:05.700634,51,248,0.1705685618729097
138,1573698842,2019-11-13T21:34:02.501991,51,248,0.1705685618729097
139,1573698798,2019-11-13T21:33:18.716367,50,248,0.16778523489932887
140,1573698796,2019-11-13T21:33:16.025137,50,248,0.16778523489932887
141,1573698784,2019-11-13T21:33:04.025161,49,248,0.16498316498316498
142,1573698780,2019-11-13T21:33:00.918606,49,248,0.16498316498316498
143,1573698757,2019-11-13T21:32:37.108917,48,248,0.16216216216216217
144,1573698753,2019-11-13T21:32:33.898146,48,248,0.16216216216216217
145,1573698736,2019-11-13T21:32:16.704215,47,248,0.15932203389830507
146,1573698497,2019-11-13T21:28:17.651630,47,248,0.15932203389830507
147,1573698492,2019-11-13T21:28:12.391011,47,248,0.15932203389830507
148,1573698461,2019-11-13T21:27:41.681401,46,248,0.1564625850340136
149,1573698458,2019-11-13T21:27:38.152415,46,248,0.1564625850340136
150,1573698429,2019-11-13T21:27:09.613657,45,248,0.15358361774744028
151,1573698426,2019-11-13T21:27:06.326500,45,248,0.15358361774744028
152,1573698404,2019-11-13T21:26:44.789939,44,248,0.1506849315068493
153,1573698400,2019-11-13T21:26:40.499377,44,248,0.1506849315068493
154,1573698367,2019-11-13T21:26:07.623676,43,248,0.14776632302405499
155,1573698363,2019-11-13T21:26:03.991386,43,248,0.14776632302405499
156,1573698339,2019-11-13T21:25:39.869318,42,248,0.14482758620689656
157,1573698336,2019-11-13T21:25:36.357448,42,248,0.14482758620689656
158,1573698307,2019-11-13T21:25:07.323383,41,248,0.14186851211072665
159,1573698304,2019-11-13T21:25:04.427607,41,248,0.14186851211072665
160,1573698277,2019-11-13T21:24:37.911478,40,248,0.1388888888888889
161,1573698274,2019-11-13T21:24:34.985562,40,248,0.1388888888888889
162,1573698254,2019-11-13T21:24:14.879859,39,248,0.13588850174216027
163,1573698251,2019-11-13T21:24:11.076547,39,248,0.13588850174216027
164,1573698218,2019-11-13T21:23:38.513606,38,248,0.13286713286713286
165,1573698215,2019-11-13T21:23:35.565295,38,248,0.13286713286713286
166,1573698160,2019-11-13T21:22:40.294813,37,248,0.12982456140350876
167,1573698155,2019-11-13T21:22:35.612301,37,248,0.12982456140350876
168,1573698137,2019-11-13T21:22:17.243790,36,248,0.1267605633802817
169,1573698134,2019-11-13T21:22:14.552297,36,248,0.1267605633802817
170,1573698103,2019-11-13T21:21:43.546132,35,248,0.12367491166077739
171,1573698100,2019-11-13T21:21:40.401020,35,248,0.12367491166077739
172,1573698094,2019-11-13T21:21:34.055815,34,248,0.12056737588652482
173,1573698091,2019-11-13T21:21:31.000896,34,248,0.12056737588652482
174,1573698063,2019-11-13T21:21:03.517155,33,248,0.11743772241992882
175,1573698060,2019-11-13T21:21:00.245872,33,248,0.11743772241992882
176,1573698042,2019-11-13T21:20:42.657996,32,248,0.11428571428571428
177,1573698039,2019-11-13T21:20:39.675129,32,248,0.11428571428571428
178,1573697991,2019-11-13T21:19:51.398136,31,248,0.1111111111111111
179,1573697986,2019-11-13T21:19:46.775135,31,248,0.1111111111111111
180,1573697964,2019-11-13T21:19:24.876125,30,248,0.1079136690647482
181,1573697960,2019-11-13T21:19:20.714709,30,248,0.1079136690647482
182,1573697912,2019-11-13T21:18:32.754633,29,248,0.10469314079422383
183,1573697909,2019-11-13T21:18:29.178145,29,248,0.10469314079422383
184,1573697891,2019-11-13T21:18:11.597950,28,248,0.10144927536231885
185,1573697888,2019-11-13T21:18:08.767289,28,248,0.10144927536231885
186,1573697876,2019-11-13T21:17:56.906055,27,248,0.09818181818181818
187,1573697873,2019-11-13T21:17:53.974874,27,248,0.09818181818181818
188,1573697861,2019-11-13T21:17:41.573998,26,248,0.0948905109489051
189,1573697857,2019-11-13T21:17:37.255173,26,248,0.0948905109489051
190,1573697836,2019-11-13T21:17:16.231702,25,248,0.09157509157509157
191,1573697832,2019-11-13T21:17:12.626500,25,248,0.09157509157509157
192,1573697802,2019-11-13T21:16:42.994479,24,248,0.08823529411764706
193,1573697799,2019-11-13T21:16:39.703006,24,248,0.08823529411764706
194,1573697772,2019-11-13T21:16:12.350362,23,248,0.08487084870848709
195,1573697769,2019-11-13T21:16:09.414278,23,248,0.08487084870848709
196,1573697740,2019-11-13T21:15:40.071135,22,248,0.08148148148148149
197,1573697736,2019-11-13T21:15:36.413386,22,248,0.08148148148148149
198,1573697708,2019-11-13T21:15:08.900334,21,248,0.07806691449814127
199,1573697705,2019-11-13T21:15:05.395653,21,248,0.07806691449814127
200,1573697689,2019-11-13T21:14:49.390022,20,248,0.07462686567164178
201,1573697686,2019-11-13T21:14:46.465994,20,248,0.07462686567164178
202,1573697641,2019-11-13T21:14:01.110698,19,248,0.07116104868913857
203,1573697638,2019-11-13T21:13:58.197923,19,248,0.07116104868913857
204,1573697619,2019-11-13T21:13:39.376450,18,248,0.06766917293233082
205,1573697616,2019-11-13T21:13:36.402708,18,248,0.06766917293233082
206,1573697592,2019-11-13T21:13:12.059198,17,248,0.06415094339622641
207,1573697588,2019-11-13T21:13:08.412490,17,248,0.06415094339622641
208,1573697558,2019-11-13T21:12:38.687049,16,248,0.06060606060606061
209,1573697555,2019-11-13T21:12:35.881613,16,248,0.06060606060606061
210,1573697524,2019-11-13T21:12:04.200369,15,248,0.057034220532319393
211,1573697521,2019-11-13T21:12:01.193714,15,248,0.057034220532319393
212,1573697449,2019-11-13T21:10:49.876550,14,248,0.05343511450381679
213,1573697446,2019-11-13T21:10:46.958803,14,248,0.05343511450381679
214,1573697414,2019-11-13T21:10:14.176712,13,248,0.04980842911877394
215,1573697411,2019-11-13T21:10:11.422192,13,248,0.04980842911877394
216,1573697351,2019-11-13T21:09:11.419380,12,248,0.046153846153846156
217,1573697348,2019-11-13T21:09:08.706645,12,248,0.046153846153846156
218,1573697315,2019-11-13T21:08:35.753637,11,248,0.04247104247104247
219,1573697312,2019-11-13T21:08:32.771872,11,248,0.04247104247104247
220,1573697278,2019-11-13T21:07:58.447072,10,248,0.03875968992248062
221,1573697274,2019-11-13T21:07:54.986039,10,248,0.03875968992248062
222,1573697267,2019-11-13T21:07:47.769362,11,247,0.04263565891472868
223,1573697264,2019-11-13T21:07:44.874861,11,247,0.04263565891472868
224,1573697251,2019-11-13T21:07:31.526077,11,247,0.04263565891472868
225,1573697248,2019-11-13T21:07:28.659090,11,247,0.04263565891472868
226,1573697180,2019-11-13T21:06:20.192094,10,247,0.038910505836575876
227,1573697177,2019-11-13T21:06:17.127895,10,247,0.038910505836575876
228,1573697150,2019-11-13T21:05:50.582072,10,247,0.038910505836575876
229,1573697142,2019-11-13T21:05:42.430320,10,247,0.038910505836575876
230,1573697124,2019-11-13T21:05:24.246707,10,246,0.0390625
231,1573697121,2019-11-13T21:05:21.407465,10,246,0.0390625
232,1573697016,2019-11-13T21:03:36.178722,10,246,0.0390625
233,1573697012,2019-11-13T21:03:32.956272,10,246,0.0390625
234,1573696984,2019-11-13T21:03:04.840817,10,246,0.0390625
235,1573696981,2019-11-13T21:03:01.234678,10,246,0.0390625
236,1573696963,2019-11-13T21:02:43.671477,11,245,0.04296875
237,1573696960,2019-11-13T21:02:40.238950,11,245,0.04296875
238,1573696931,2019-11-13T21:02:11.132089,11,245,0.04296875
239,1573696927,2019-11-13T21:02:07.973592,11,245,0.04296875
240,1573696904,2019-11-13T21:01:44.731389,12,244,0.046875
241,1573696901,2019-11-13T21:01:41.768292,12,244,0.046875
242,1573696875,2019-11-13T21:01:15.751959,13,243,0.05078125
243,1573696872,2019-11-13T21:01:12.347958,13,243,0.05078125
244,1573696853,2019-11-13T21:00:53.770392,13,243,0.05078125
245,1573696850,2019-11-13T21:00:50.441138,13,243,0.05078125
246,1573696823,2019-11-13T21:00:23.384016,14,242,0.0546875
247,1573696820,2019-11-13T21:00:20.181078,14,242,0.0546875
248,1573696787,2019-11-13T20:59:47.525709,15,241,0.05859375
249,1573696783,2019-11-13T20:59:43.959763,15,241,0.05859375
250,1573696756,2019-11-13T20:59:16.999860,16,240,0.0625
251,1573696754,2019-11-13T20:59:14.386633,16,240,0.0625
252,1573696721,2019-11-13T20:58:41.621977,17,239,0.06640625
253,1573696718,2019-11-13T20:58:38.411460,17,239,0.06640625
254,1573696665,2019-11-13T20:57:45.935625,18,238,0.0703125
255,1573696662,2019-11-13T20:57:42.965269,18,238,0.0703125
256,1573696395,2019-11-13T20:53:15.228065,19,237,0.07421875
