file,size(BYTE),size(KB),size(MB),resolution(DPI)
Florence/20180917a_jpgs/jpgs/C26047692.jpg,15077235,14723.8623,14.37877178,300
Florence/20180917a_jpgs/jpgs/C26048002.jpg,9761979,9533.182617,9.30974865,300
Florence/20180917a_jpgs/jpgs/C26048065.jpg,6200497,6055.172852,5.913254738,300
Florence/20180917a_jpgs/jpgs/C26048174.jpg,4577494,4470.208984,4.365438461,300
Florence/20180917a_jpgs/jpgs/C26048339.jpg,7674118,7494.255859,7.318609238,300
Florence/20180917a_jpgs/jpgs/C26049642.jpg,4762394,4650.775391,4.541772842,300
Florence/20180917a_jpgs/jpgs/C26049687.jpg,5476478,5348.123047,5.222776413,300
Florence/20180917a_jpgs/jpgs/C26050229.jpg,6277743,6130.608398,5.986922264,300
Florence/20180917a_jpgs/jpgs/C26050389.jpg,7141768,6974.382813,6.810920715,300
Florence/20180917a_jpgs/jpgs/C26050392.jpg,5815456,5679.15625,5.546051025,300
Florence/20180917a_jpgs/jpgs/C26050943.jpg,7352577,7180.250977,7.011963844,300
Florence/20180917a_jpgs/jpgs/C26051352.jpg,8701249,8497.313477,8.298157692,300
Florence/20180917a_jpgs/jpgs/C26051358.jpg,6302705,6154.985352,6.010727882,300
Florence/20180917a_jpgs/jpgs/C26052015.jpg,8144971,7954.073242,7.767649651,300
Florence/20180917a_jpgs/jpgs/C26052021.jpg,12314096,12025.48438,11.74363708,300
Florence/20180917a_jpgs/jpgs/C26052033.jpg,4585218,4477.751953,4.372804642,300
Florence/20180917a_jpgs/jpgs/C26052039.jpg,8662892,8459.855469,8.261577606,300
Florence/20180917a_jpgs/jpgs/P26047283.jpg,3022027,2951.198242,2.882029533,96
Florence/20180917a_jpgs/jpgs/P26047845.jpg,6345041,6196.329102,6.051102638,96
Florence/20180917a_jpgs/jpgs/P26048017.jpg,15446250,15084.22852,14.73069191,96
Florence/20180917a_jpgs/jpgs/P26048270.jpg,13395187,13081.2373,12.77464581,96
Florence/20180917a_jpgs/jpgs/P26048307.jpg,7453730,7279.033203,7.108430862,96
Florence/20180917a_jpgs/jpgs/P26048373.jpg,5742611,5608.018555,5.47658062,96
Florence/20180917a_jpgs/jpgs/P26049731.jpg,6641495,6485.834961,6.333823204,96
Florence/20180917a_jpgs/jpgs/P26049795.jpg,8690591,8486.905273,8.287993431,96
Florence/20180917a_jpgs/jpgs/P26050183.jpg,5705634,5571.908203,5.441316605,96
Florence/20180917a_jpgs/jpgs/P26050310.jpg,6449379,6298.22168,6.150607109,96
Florence/20180917a_jpgs/jpgs/P26050437.jpg,4598952,4491.164063,4.385902405,96
Florence/20180917a_jpgs/jpgs/P26050963.jpg,6415912,6265.539063,6.118690491,96
